date,latitude,longitude,country_name,admin_division_name,risk_class
,27.3736,88.73229999999998,india,Sikkim,High
,32.99132221,75.19427899,india,Jammu and Kashmir,High
,9.65498419,76.72308237999998,india,Kerala,Low
,30.5319,79.3541,india,Uttaranchal,Low
,29.2409,95.9761,india,Arunachal Pradesh,High
,13.1819,76.1147,india,Karnataka,Medium
,32.2322,76.3037,india,Himachal Pradesh,Low
,27.8997,93.34970000000001,india,Arunachal Pradesh,High
,32.5612,76.1238,india,Himachal Pradesh,High
,27.02459801,88.43849550999998,india,West Bengal,High
,33.3191592,75.19329838,india,Jammu and Kashmir,Medium
,10.53762479,76.21576213,india,Kerala,High
,29.3802,79.4633,india,Uttaranchal,High
,13.92958382,75.60098320999998,india,Karnataka,High
,30.709,76.9834,india,Haryana,High
,24.21988831,93.20266204,india,Manipur,Low
,33.17191499,75.81074366,india,Jammu and Kashmir,Low
,33.25646771,75.77361313,india,Jammu and Kashmir,High
,25.907233,91.881892,india,Meghalaya,Medium
,25.7902,94.1318,india,Nagaland,Low
,12.41958869,75.70384332,india,Karnataka,High
,13.6529,79.3439,india,Andhra Pradesh,Low
,14.229,74.8122,india,Karnataka,Low
,9.82689429,76.92110479,india,Kerala,Medium
,23.7269,92.7265,india,Mizoram,High
,9.7285,76.80299999999998,india,Kerala,High
,32.5659,75.09439999999998,india,Jammu and Kashmir,Medium
,23.9278,94.0906,india,Manipur,Medium
,30.1035,78.4265,india,Uttaranchal,High
,25.5007,93.9854,india,Manipur,High
,31.11743075,77.5745521,india,Himachal Pradesh,Medium
,33.40307977,75.68061125,india,Jammu and Kashmir,Low
,18.83564731,83.23165344999998,india,Orissa,Low
,33.3308,75.1774,india,Jammu and Kashmir,Medium
,31.673,76.5338,india,Himachal Pradesh,Low
,10.02195311,76.94077696,india,Kerala,Medium
,31.0563269,77.13685017999998,india,Himachal Pradesh,Low
,24.9111,94.4759,india,Manipur,Low
,13.90074546,74.66018578,india,Karnataka,High
,27.1675,88.3651,india,Sikkim,High
,26.9978,88.167,india,West Bengal,Low
,23.5397,93.3783,india,Mizoram,Low
,18.7631,73.3471,india,Maharashtra,High
,25.5006,90.0896,india,Meghalaya,High
,26.0977,94.7499,india,Nagaland,High
,24.4638,92.4943,india,Assam,Medium
,30.9111,78.68139999999998,india,Uttaranchal,Low
,27.5799,91.8569,india,Arunachal Pradesh,High
,32.7327,74.85559999999998,india,Jammu and Kashmir,Low
,28.611,94.9829,india,Arunachal Pradesh,Medium
,31.01260519,78.88449525,india,Uttaranchal,Medium
,11.3237,76.9101,india,Tamil Nadu,High
,33.0271,75.0018,india,Jammu and Kashmir,Medium
,18.72,73.47,india,Maharashtra,Low
,24.79591421,93.72386429,india,Manipur,High
,12.6771,75.2565,india,Karnataka,Low
,30.9015,78.77559999999998,india,Uttaranchal,Low
,26.8781,88.28069999999998,india,West Bengal,Medium
,33.17580726,75.81055668,india,Jammu and Kashmir,Medium
,22.479,92.96700000000001,india,Mizoram,Medium
,33.1847,75.8062,india,Jammu and Kashmir,Medium
,31.102451,77.20458599999998,india,Himachal Pradesh,Medium
,15.4014,73.82769999999998,india,Goa,High
,26.1445447,94.24416766,india,Nagaland,Low
,27.059,88.46939999999998,india,West Bengal,Low
,26.8546,88.3373,india,West Bengal,Low
,10.9654,76.55159999999998,india,Kerala,Low
,26.0838,94.564,india,Nagaland,Medium
,29.7036,78.56579999999998,india,Uttaranchal,Low
,24.8029,93.6228,india,Manipur,High
,30.5631,79.57649999999998,india,Uttaranchal,High
,31.5041,77.9521,india,Himachal Pradesh,Low
,26.944,88.4441,india,West Bengal,Low
,26.99195749,88.42280920999998,india,West Bengal,High
,24.5308,92.5121,india,Assam,High
,30.56504675,79.56163207999998,india,Uttaranchal,Medium
,27.3425,88.62359999999998,india,Sikkim,High
,31.0188,78.41289999999998,india,Uttaranchal,Medium
,24.9926,93.4946,india,Manipur,Medium
,31.5593,77.9277,india,Himachal Pradesh,Medium
,30.7332,78.4401,india,Uttaranchal,Medium
,30.885,78.6695,india,Uttaranchal,Medium
,27.36,93.03850000000001,india,Arunachal Pradesh,Low
,26.8692,88.46949999999998,india,West Bengal,High
,15.0296,74.0253,india,Goa,Medium
,25.583,91.893,india,Meghalaya,High
,30.74148939,78.52656313999998,india,Uttaranchal,High
,24.9356,93.8443,india,Manipur,Medium
,29.9121,78.1723,india,Uttaranchal,Low
,26.888,88.2796,india,West Bengal,Medium
,30.7351,79.06659999999998,india,Uttaranchal,Low
,11.78127207,78.19387994999998,india,Tamil Nadu,High
,12.89674168,74.85970453,india,Karnataka,Low
,19.34,73.7746,india,Maharashtra,Low
,34.151,74.1213,india,Jammu and Kashmir,Low
,11.34392645,76.85792558,india,Tamil Nadu,High
,9.980976,77.000961,india,Kerala,High
,33.25717564,75.19682010999999,india,Jammu and Kashmir,Low
,23.86469956,91.8949662,india,Tripura,Low
,27.1249,93.7706,india,Arunachal Pradesh,Medium
,18.5158,73.18219999999998,india,Maharashtra,Low
,26.1985,91.7998,india,Assam,Medium
,25.63961883,94.11112157,india,Nagaland,Low
,26.4205,94.9731,india,Nagaland,Medium
,30.6509,79.02639999999998,india,Uttaranchal,High
,27.0167,78.1333,india,Uttar Pradesh,Low
,27.2644,88.1365,india,Sikkim,Low
,12.82259873,75.62136484,india,Karnataka,Low
,34.141,74.6568,india,Jammu and Kashmir,Low
,25.0985,94.3619,india,Manipur,Medium
,24.416,94.0984,india,Manipur,Low
,26.1666,91.7042,india,Assam,High
,31.1581,77.7155,india,Himachal Pradesh,High
,32.371,77.24679999999998,india,Himachal Pradesh,Low
,33.25400876,75.01405986999998,india,Jammu and Kashmir,High
,32.4318,77.21469999999998,india,Himachal Pradesh,Low
,23.6866,93.017,india,Mizoram,Low
,34.09,74.02559999999998,india,Jammu and Kashmir,High
